reference,formula
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( b , e ) & SameRow ( d , e ) & SameCol ( d , a )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameRow ( e , d ) & SameCol ( e , b ) & SameCol ( d , a )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameRow ( d , e ) & SameCol ( b , e ) & SameCol ( a , d )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( d , a ) & SameRow ( e , d ) & SameCol ( b , e )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( b , e ) & SameRow ( e , d ) & SameCol ( a , d )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","~ ( ~ SameCol ( b , e ) | ~ SameRow ( e , d ) | ~ SameCol ( d , a ) )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameRow ( d , e ) & SameCol ( b , e ) & SameCol ( d , a )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( a , d ) & SameRow ( d , e ) & SameCol ( e , b )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( b , e ) & SameRow ( e , d ) & SameCol ( d , a )"
"B is in the same column as E, which is in the same row as D, which in turn is in the same column as A","SameCol ( b , e ) & SameCol ( d , a ) & SameRow ( e , d )"
B is in the same row as A but is not in the same column as F,"~ SameCol ( b , f ) & SameRow ( a , b )"
B is in the same row as A but is not in the same column as F,"SameRow ( b , a ) & ~ SameCol ( b , f )"
B is in the same row as A but is not in the same column as F,"SameRow ( a , b ) & ~ SameCol ( b , f ) & SameRow ( b , a )"
B is in the same row as A but is not in the same column as F,"~ SameCol ( f , b ) & SameRow ( a , b )"
B is in the same row as A but is not in the same column as F,"~ ( ~ SameRow ( b , a ) | SameCol ( b , f ) )"
B is in the same row as A but is not in the same column as F,"SameRow ( a , b ) & ~ SameCol ( f , b )"
B is in the same row as A but is not in the same column as F,"~ ~ SameRow ( b , a ) & ~ SameCol ( b , f )"
B is in the same row as A but is not in the same column as F,"~ SameCol ( b , f ) & SameRow ( b , a )"
B is in the same row as A but is not in the same column as F,"SameRow ( b , a ) & ~ SameCol ( f , b )"
B is in the same row as A but is not in the same column as F,"SameRow ( b , a ) & ~ SameCol ( b , f ) & ~ SameCol ( b , f )"
B is in the same row as A but is not in the same column as F,"SameRow ( b , a ) & ~ ( SameRow ( b , a ) & SameCol ( b , f ) )"
B is in the same row as A but is not in the same column as F,"SameRow ( a , b ) & ~ SameCol ( b , f )"
B is in the same row as A but is not in the same column as F,"~ ~ ( SameRow ( b , a ) & ~ SameCol ( b , f ) )"
B is in the same row as D,"SameRow ( b , d )"
B is in the same row as D,"SameRow ( d , b )"
B is larger than both A and E,"Larger ( b , e ) & Larger ( b , a )"
B is larger than both A and E,"~ ( Larger ( b , a ) & Larger ( b , e ) ) $ ( Larger ( b , a ) & Larger ( b , e ) )"
B is larger than both A and E,"Smaller ( a , b ) & Smaller ( e , b ) & Larger ( b , a ) & Larger ( b , e )"
B is larger than both A and E,"Larger ( b , a ) & ( Larger ( b , a ) $ Larger ( b , e ) )"
B is larger than both A and E,"Larger ( b , a ) & Larger ( b , e )"
B is larger than both A and E,"~ ~ Larger ( b , a ) & ~ ~ Larger ( b , e )"
B is larger than both A and E,"Smaller ( a , b ) & Smaller ( e , b )"
B is larger than both A and E,"Larger ( b , e ) & Larger ( b , a ) & Larger ( b , e ) & Larger ( b , a )"
B is larger than both A and E,"~ ( Larger ( b , a ) $ ~ Larger ( b , e ) )"
B is larger than both A and E,"( Larger ( b , a ) $ Larger ( b , e ) ) & Larger ( b , a )"
B is smaller than A,"Smaller ( b , a ) | Larger ( a , b )"
B is smaller than A,"Larger ( a , b )"
B is smaller than A,"Smaller ( b , a )"
B is the same size as C,"SameSize ( c , b )"
B is the same size as C,"SameSize ( b , c )"
B or D is a cube if either A or C is a tetrahedron,( Tet ( c ) | Tet ( a ) ) $ ( Cube ( b ) | Cube ( d ) )
B or D is a cube if either A or C is a tetrahedron,( ~ Tet ( c ) $ Tet ( a ) ) $ ( ~ Cube ( d ) $ Cube ( b ) )
B or D is a cube if either A or C is a tetrahedron,( ( ~ Tet ( a ) $ Tet ( c ) ) | ( ~ Tet ( c ) $ Tet ( a ) ) ) $ ( Cube ( b ) | Cube ( d ) )
B or D is a cube if either A or C is a tetrahedron,( Tet ( a ) | ( ~ Tet ( a ) & Tet ( c ) ) ) $ ( Cube ( b ) | Cube ( d ) )
B or D is a cube if either A or C is a tetrahedron,~ ( Cube ( b ) | Cube ( d ) ) $ ~ ( Tet ( a ) | Tet ( c ) )
B or D is a cube if either A or C is a tetrahedron,( ( Cube ( b ) | Cube ( d ) ) & ( Tet ( a ) | Tet ( c ) ) ) | ~ ( Tet ( a ) | Tet ( c ) )
B or D is a cube if either A or C is a tetrahedron,( ( Tet ( a ) | Tet ( c ) ) $ Cube ( b ) ) | ( ( Tet ( a ) | Tet ( c ) ) $ Cube ( d ) )
B or D is a cube if either A or C is a tetrahedron,( ~ Tet ( a ) $ Tet ( c ) ) $ ( ~ Cube ( b ) $ Cube ( d ) )
B or D is a cube if either A or C is a tetrahedron,Cube ( b ) | Cube ( d ) | ~ ( Tet ( a ) | Tet ( c ) )
B or D is a cube if either A or C is a tetrahedron,( Tet ( a ) | Tet ( c ) ) $ ( Cube ( d ) | Cube ( b ) )
B or D is a cube if either A or C is a tetrahedron,~ ( ~ ( ~ Tet ( a ) & ~ Tet ( c ) ) & ~ Cube ( b ) & ~ Cube ( d ) )
B or D is a cube if either A or C is a tetrahedron,( Tet ( a ) | Tet ( c ) ) $ ( Cube ( b ) | Cube ( d ) )
B or D is a cube if either A or C is a tetrahedron,~ ( Cube ( b ) | Cube ( d ) ) $ ~ ( Tet ( c ) | Tet ( a ) )
B or D is a cube if either A or C is a tetrahedron,( Tet ( a ) $ ( Cube ( b ) | Cube ( d ) ) ) & ( Tet ( c ) $ ( Cube ( b ) | Cube ( d ) ) )
B or D is a cube if either A or C is a tetrahedron,( ~ Tet ( a ) $ Tet ( c ) ) $ ( Cube ( b ) | Cube ( d ) )
B or D is a cube if either A or C is a tetrahedron,~ ( Tet ( a ) | Tet ( c ) ) | Cube ( b ) | Cube ( d )
B or D is a cube if either A or C is a tetrahedron,( Tet ( c ) | Tet ( a ) ) $ ( Cube ( d ) | Cube ( b ) )
B or D is a cube if either A or C is a tetrahedron,~ ( Cube ( d ) | Cube ( b ) ) $ ~ ( Tet ( a ) | Tet ( c ) )
B or D is a cube if either A or C is a tetrahedron,( ~ Cube ( b ) $ ~ ( Tet ( a ) | Tet ( c ) ) ) | ( ~ Cube ( d ) $ ~ ( Tet ( a ) | Tet ( c ) ) )
"Both D and C are cubes, however neither of them is small",~ Small ( d ) & ~ Small ( c ) & Cube ( d ) & Cube ( c )
"Both D and C are cubes, however neither of them is small",~ ( Small ( d ) | Small ( c ) ) & Cube ( c ) & Cube ( d )
"Both D and C are cubes, however neither of them is small",Cube ( d ) & Cube ( c ) & ~ Small ( d ) & ~ Small ( c ) & ~ ~ Cube ( d ) & ~ ~ ~ Small ( c )
"Both D and C are cubes, however neither of them is small",Cube ( d ) & ~ Small ( d ) & ~ Small ( c ) & Cube ( c )
"Both D and C are cubes, however neither of them is small","~ ( Small ( d ) | Small ( c ) ) & Cube ( d ) & SameShape ( d , c )"
"Both D and C are cubes, however neither of them is small",Cube ( d ) & Cube ( c ) & ~ ( Small ( d ) & Cube ( d ) ) & ~ ( Small ( c ) & Cube ( c ) )
"Both D and C are cubes, however neither of them is small",~ ( Small ( c ) | Small ( d ) ) & Cube ( d ) & Cube ( c )
"Both D and C are cubes, however neither of them is small","~ Small ( d ) & ~ Small ( c ) & Cube ( d ) & SameShape ( d , c )"
"Both D and C are cubes, however neither of them is small",Cube ( d ) & Cube ( c ) & ~ Small ( d ) & ~ Small ( c )
"Both D and C are cubes, however neither of them is small","Cube ( d ) & SameShape ( d , c ) & ~ ( Small ( d ) | Small ( c ) )"
"Both D and C are cubes, however neither of them is small",Cube ( c ) & ~ Small ( c ) & ~ Small ( d ) & Cube ( d )
"Both D and C are cubes, however neither of them is small","Cube ( d ) & SameShape ( c , d ) & ~ ( Small ( c ) | Small ( d ) )"
"Both D and C are cubes, however neither of them is small",~ ( ~ Cube ( d ) | ~ Cube ( c ) | Small ( d ) | Small ( c ) )
"Both D and C are cubes, however neither of them is small",~ Small ( c ) & ~ Small ( d ) & Cube ( d ) & Cube ( c )
"Both D and C are cubes, however neither of them is small","Cube ( c ) & ~ Small ( c ) & ~ Small ( d ) & SameShape ( c , d )"
"Both D and C are cubes, however neither of them is small",~ Small ( d ) & ~ Small ( c ) & Cube ( c ) & Cube ( d )
"Both D and C are cubes, however neither of them is small","~ ( Small ( c ) | Small ( d ) ) & Cube ( c ) & SameShape ( c , d )"
"Both D and C are cubes, however neither of them is small","Cube ( c ) & SameShape ( c , d ) & ~ ( Small ( c ) | Small ( d ) )"
"Both D and C are cubes, however neither of them is small","Cube ( c ) & SameShape ( d , c ) & ~ Small ( c ) & ~ Small ( d )"
"Both D and C are cubes, however neither of them is small","Cube ( d ) & SameShape ( d , c ) & ~ Small ( c ) & ~ Small ( d )"
"Both D and C are cubes, however neither of them is small",~ ( Small ( c ) | Small ( d ) ) & Cube ( c ) & Cube ( d )
"Both D and C are cubes, however neither of them is small","Cube ( d ) & SameShape ( c , d ) & ~ ( Small ( d ) | Small ( c ) )"
"Both D and C are cubes, however neither of them is small",Cube ( c ) & ~ Small ( c ) & Cube ( d ) & ~ Small ( d )
"Both D and C are cubes, however neither of them is small","Cube ( c ) & SameShape ( d , c ) & ~ ( Small ( d ) | Small ( c ) )"
"Both D and C are cubes, however neither of them is small",Cube ( d ) & Cube ( c ) & ~ ( Small ( d ) | Small ( c ) )
"Both D and C are cubes, however neither of them is small","Cube ( d ) & ~ Small ( d ) & SameShape ( c , d ) & ~ Small ( c )"
"Both D and C are cubes, however neither of them is small",Cube ( d ) & ~ Small ( c ) & Cube ( c ) & ~ Small ( d )
"Both D and C are cubes, however neither of them is small","Cube ( d ) & SameShape ( d , c ) & ~ Small ( d ) & ~ Small ( c )"
"Both D and C are cubes, however neither of them is small","SameShape ( d , c ) & Cube ( d ) & ~ Small ( d ) & ~ Small ( c )"
"Both D and C are cubes, however neither of them is small","SameShape ( d , c ) & Cube ( c ) & ~ Small ( d ) & ~ Small ( c )"
"Both D and C are cubes, however neither of them is small",~ Small ( d ) & Cube ( d ) & Cube ( c ) & ~ Small ( c )
"Both D and C are cubes, however neither of them is small","Cube ( d ) & SameShape ( c , d ) & ~ Small ( d ) & ~ Small ( c )"
"Both D and C are cubes, however neither of them is small",~ Small ( c ) & Cube ( d ) & ~ Small ( d ) & Cube ( c )
"Both D and C are cubes, however neither of them is small","Cube ( d ) & SameShape ( c , d ) & ~ Small ( c ) & ~ Small ( d )"
"Both D and C are cubes, however neither of them is small",Cube ( c ) & Cube ( d ) & ~ Small ( d ) & ~ Small ( c )
"Both D and C are cubes, however neither of them is small",Cube ( c ) & Cube ( d ) & ~ ( Small ( c ) | Small ( d ) )
"Both D and C are cubes, however neither of them is small","SameShape ( d , c ) & Cube ( d ) & ~ ( Small ( d ) | Small ( c ) )"
"Both D and C are cubes, however neither of them is small","~ Small ( d ) & ~ Small ( c ) & SameShape ( d , c ) & Cube ( d )"
"Both D and C are cubes, however neither of them is small",Cube ( d ) & ~ Small ( d ) & Cube ( c ) & ~ Small ( c )
"Both D and C are cubes, however neither of them is small",Cube ( d ) & Cube ( c ) & ~ ( Small ( c ) | Small ( d ) )
"Both D and C are cubes, however neither of them is small",~ Small ( c ) & ~ Small ( d ) & Cube ( c ) & Cube ( d )
"Both D and C are cubes, however neither of them is small",Cube ( c ) & Cube ( d ) & ~ Small ( c ) & ~ Small ( d )
"Both D and C are cubes, however neither of them is small",~ Small ( c ) & Cube ( c ) & ~ Small ( d ) & Cube ( d )
"Both D and C are cubes, however neither of them is small","SameShape ( d , c ) & Cube ( c ) & ~ Small ( c ) & ~ Small ( d )"
"Both D and C are cubes, however neither of them is small","SameShape ( d , c ) & Cube ( c ) & ~ ( Small ( d ) | Small ( c ) )"
"Both D and C are cubes, however neither of them is small",Cube ( c ) & Cube ( d ) & ~ ( Small ( d ) | Small ( c ) )
"Both D and C are cubes, however neither of them is small",Cube ( d ) & Cube ( c ) & ~ Small ( c ) & ~ Small ( d )
"Both D and C are cubes, however neither of them is small",~ ( Small ( d ) | Small ( c ) ) & ~ ( ~ Cube ( d ) | ~ Cube ( c ) )
"Both D and C are cubes, however neither of them is small",~ ( Small ( d ) | Small ( c ) ) & Cube ( d ) & Cube ( c )
"Both D and C are cubes, however neither of them is small",Cube ( d ) & Cube ( c ) & ~ ( Small ( d ) & Small ( c ) ) & ~ ( Small ( d ) | Small ( c ) )
"Both D and C are cubes, however neither of them is small",Cube ( d ) & Cube ( c ) & ~ Small ( d ) & ~ Small ( d ) & ~ Small ( c )
"Both D and C are cubes, however neither of them is small","Cube ( c ) & SameShape ( c , d ) & ~ Small ( c ) & ~ Small ( d )"
"Both D and C are cubes, however neither of them is small",~ Small ( d ) & Cube ( d ) & ~ Small ( c ) & Cube ( c )
C is a tetrahedron if B is,( Tet ( c ) & Tet ( b ) ) | ~ Tet ( b )
C is a tetrahedron if B is,Tet ( b ) $ Tet ( c )
C is a tetrahedron if B is,~ Tet ( c ) $ ~ Tet ( b )
C is a tetrahedron if B is,Tet ( c ) | ~ Tet ( b )
C is a tetrahedron if B is,~ Tet ( b ) | Tet ( c )
C is in back of A but in front of E,"BackOf ( c , a ) & BackOf ( e , c )"
C is in back of A but in front of E,"~ ( BackOf ( c , a ) $ ~ FrontOf ( c , e ) ) & FrontOf ( c , e )"
C is in back of A but in front of E,"BackOf ( c , a ) & FrontOf ( c , e )"
C is in back of A but in front of E,"~ ( BackOf ( c , a ) $ ~ FrontOf ( c , e ) )"
C is in back of A but in front of E,"FrontOf ( c , e ) & BackOf ( c , a )"
C is in back of A but in front of E,"~ ( BackOf ( c , a ) & FrontOf ( c , e ) ) $ ( BackOf ( c , a ) & FrontOf ( c , e ) )"
C is in back of A but in front of E,"BackOf ( c , a ) & ~ ~ FrontOf ( c , e )"
C is in back of A but in front of E,"FrontOf ( a , c ) & FrontOf ( c , e )"
C is in back of A but in front of E,"BackOf ( c , a ) & ( BackOf ( c , a ) $ FrontOf ( c , e ) )"
C is in back of A but in front of E,"~ ( FrontOf ( c , e ) & BackOf ( c , a ) ) $ ( FrontOf ( c , e ) & BackOf ( c , a ) )"
C is in back of A but in front of E,"~ ( FrontOf ( c , e ) $ ~ BackOf ( c , a ) )"
C is in back of A but in front of E,"( BackOf ( c , a ) $ FrontOf ( c , e ) ) & BackOf ( c , a )"
C is in back of A but in front of E,"~ ( ~ BackOf ( c , a ) | ~ FrontOf ( c , e ) )"
"C is in front of F; moreover, it is smaller than F","Larger ( f , c ) & FrontOf ( c , f )"
"C is in front of F; moreover, it is smaller than F","Smaller ( c , f ) & FrontOf ( c , f )"
"C is in front of F; moreover, it is smaller than F","FrontOf ( c , f ) & Larger ( f , c )"
"C is in front of F; moreover, it is smaller than F","BackOf ( f , c ) & Larger ( f , c )"
"C is in front of F; moreover, it is smaller than F","BackOf ( f , c ) & Smaller ( c , f )"
"C is in front of F; moreover, it is smaller than F","FrontOf ( c , f ) & BackOf ( f , c ) & Smaller ( c , f ) & Larger ( f , c )"
"C is in front of F; moreover, it is smaller than F","Smaller ( c , f ) & BackOf ( f , c )"
"C is in front of F; moreover, it is smaller than F","~ ~ FrontOf ( c , f ) & Smaller ( c , f )"
"C is in front of F; moreover, it is smaller than F","Larger ( f , c ) & BackOf ( f , c )"
"C is in front of F; moreover, it is smaller than F","~ ~ ( FrontOf ( c , f ) & Smaller ( c , f ) )"
"C is in front of F; moreover, it is smaller than F","FrontOf ( c , f ) & Smaller ( c , f )"
C is larger than E only if B is larger than C,"~ Larger ( b , c ) $ ~ Larger ( c , e )"
C is larger than E only if B is larger than C,"( Larger ( c , e ) $ Larger ( b , c ) ) & ( ~ Larger ( b , c ) $ ~ Larger ( c , e ) )"
C is larger than E only if B is larger than C,"~ Larger ( c , e ) | Larger ( b , c )"
C is larger than E only if B is larger than C,"Larger ( b , c ) | ~ Larger ( c , e )"
C is larger than E only if B is larger than C,"Larger ( c , e ) $ Larger ( b , c )"
C is larger than E only if B is larger than C,"( Larger ( c , e ) & Larger ( b , c ) ) | ~ Larger ( c , e )"
C is larger than E only if B is larger than C,"Larger ( c , e ) $ Smaller ( c , b )"
C is larger than E only if B is larger than C,"( Larger ( b , c ) & Larger ( c , e ) ) | ~ Larger ( c , e )"
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ( ~ Cube ( d ) & ~ Cube ( f ) & ~ Cube ( e ) )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ~ ( Cube ( d ) | Cube ( e ) | Cube ( f ) )
"C is medium only if none of D, E, and F are cubes",~ ( ~ Cube ( d ) & ~ Cube ( e ) & ~ Cube ( f ) ) $ ~ Medium ( c )
"C is medium only if none of D, E, and F are cubes",( ~ Cube ( d ) & ~ Cube ( e ) & ~ Cube ( f ) & Medium ( c ) ) | ~ Medium ( c )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ~ ( Cube ( e ) | Cube ( d ) | Cube ( f ) )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ~ ( Cube ( f ) | Cube ( e ) | Cube ( d ) )
"C is medium only if none of D, E, and F are cubes",( Cube ( e ) | Cube ( d ) | Cube ( f ) ) $ ~ Medium ( c )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ( ~ Cube ( d ) & ~ Cube ( d ) & ~ Cube ( e ) & ~ Cube ( f ) )
"C is medium only if none of D, E, and F are cubes",~ Medium ( c ) | ( ~ Cube ( d ) & ~ Cube ( e ) & ~ Cube ( f ) )
"C is medium only if none of D, E, and F are cubes",( Medium ( c ) & ~ ( Cube ( d ) | Cube ( e ) | Cube ( f ) ) ) | ~ Medium ( c )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ~ ( Cube ( d ) | Cube ( f ) | Cube ( e ) )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ( ~ ( Cube ( d ) | Cube ( e ) ) & ~ Cube ( f ) )
"C is medium only if none of D, E, and F are cubes",( Cube ( d ) | Cube ( e ) | Cube ( f ) ) $ ~ Medium ( c )
"C is medium only if none of D, E, and F are cubes",~ Medium ( c ) | ~ ( Cube ( d ) | Cube ( e ) | Cube ( f ) )
"C is medium only if none of D, E, and F are cubes",( Medium ( c ) $ ~ Cube ( d ) ) & ( Medium ( c ) $ ~ Cube ( e ) ) & ( Medium ( c ) $ ~ Cube ( f ) )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ~ ( Cube ( e ) | Cube ( f ) | Cube ( d ) )
"C is medium only if none of D, E, and F are cubes",( Cube ( d ) | Cube ( f ) | Cube ( e ) ) $ ~ Medium ( c )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ( ~ Cube ( f ) & ~ Cube ( e ) & ~ Cube ( d ) )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ( ~ Cube ( d ) & ~ Cube ( e ) & ~ Cube ( f ) )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ( ~ Cube ( e ) & ~ Cube ( d ) & ~ Cube ( f ) )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ~ ( Cube ( d ) | Cube ( e ) | Cube ( f ) | Cube ( e ) )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ( ~ Cube ( f ) & ~ Cube ( d ) & ~ Cube ( e ) )
"C is medium only if none of D, E, and F are cubes",~ ~ ( Cube ( d ) | Cube ( e ) | Cube ( f ) ) $ ~ Medium ( c )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ( ~ Cube ( d ) & ~ ( Cube ( e ) | Cube ( f ) ) )
"C is medium only if none of D, E, and F are cubes",Medium ( c ) $ ~ ( Cube ( f ) | Cube ( d ) | Cube ( e ) )
C is smaller than A but larger than E,"Larger ( c , e ) & Smaller ( c , a )"
C is smaller than A but larger than E,"~ ( ~ Smaller ( c , a ) | ~ Larger ( c , e ) )"
C is smaller than A but larger than E,"Larger ( c , e ) & Larger ( a , c )"
C is smaller than A but larger than E,"Smaller ( c , a ) & Larger ( c , e )"
C is smaller than A but larger than E,"Smaller ( e , c ) & Smaller ( c , a )"
C is smaller than A but larger than E,"~ ~ ( Smaller ( c , a ) & Larger ( c , e ) )"
C is smaller than A but larger than E,"Smaller ( c , a ) & Smaller ( e , c )"
C is smaller than A but larger than E,"Larger ( a , c ) & Larger ( c , e )"
C is smaller than A but larger than E,"Smaller ( e , c ) & Larger ( a , c )"
C is smaller than A but larger than E,"Larger ( a , c ) & Smaller ( e , c )"
C is smaller than A but larger than E,"Larger ( a , c ) & Larger ( c , e ) & Smaller ( c , a )"
"C is to the right of A, provided it (i.e., C) is small","Small ( c ) $ LeftOf ( a , c )"
"C is to the right of A, provided it (i.e., C) is small","( RightOf ( c , a ) & Small ( c ) ) | ~ Small ( c )"
"C is to the right of A, provided it (i.e., C) is small","~ Small ( c ) | RightOf ( c , a )"
"C is to the right of A, provided it (i.e., C) is small","Small ( c ) $ ( RightOf ( c , a ) & Small ( c ) )"
"C is to the right of A, provided it (i.e., C) is small","( RightOf ( c , a ) & Small ( c ) ) | ( ~ RightOf ( c , a ) $ ~ Small ( c ) )"
"C is to the right of A, provided it (i.e., C) is small","Small ( c ) $ RightOf ( c , a )"
"C is to the right of A, provided it (i.e., C) is small","RightOf ( c , a ) | ~ Small ( c )"
"C is to the right of A, provided it (i.e., C) is small","~ RightOf ( c , a ) $ ~ Small ( c )"
"C is to the right of A, provided it (i.e., C) is small","( Small ( c ) & RightOf ( c , a ) ) | ~ Small ( c )"
C is to the right of D only if B is to the right of C and left of E,"~ RightOf ( c , d ) | ( RightOf ( b , c ) & LeftOf ( b , e ) )"
C is to the right of D only if B is to the right of C and left of E,"~ ( RightOf ( b , c ) & LeftOf ( b , e ) ) $ ~ RightOf ( c , d )"
C is to the right of D only if B is to the right of C and left of E,"RightOf ( c , d ) $ ~ ( RightOf ( b , c ) $ ~ LeftOf ( b , e ) )"
C is to the right of D only if B is to the right of C and left of E,"~ RightOf ( c , d ) | ( RightOf ( c , d ) & RightOf ( b , c ) & LeftOf ( b , e ) )"
C is to the right of D only if B is to the right of C and left of E,"( ~ RightOf ( b , c ) | ~ LeftOf ( b , e ) ) $ ~ RightOf ( c , d )"
C is to the right of D only if B is to the right of C and left of E,"~ ( LeftOf ( b , e ) & RightOf ( b , c ) ) $ ~ RightOf ( c , d )"
C is to the right of D only if B is to the right of C and left of E,"( RightOf ( c , d ) $ RightOf ( b , c ) ) & ( RightOf ( c , d ) $ LeftOf ( b , e ) )"
C is to the right of D only if B is to the right of C and left of E,"RightOf ( c , d ) $ ( RightOf ( b , c ) & RightOf ( e , b ) )"
C is to the right of D only if B is to the right of C and left of E,"( RightOf ( c , d ) & RightOf ( b , c ) & LeftOf ( b , e ) ) | ~ RightOf ( c , d )"
C is to the right of D only if B is to the right of C and left of E,"RightOf ( c , d ) $ ( LeftOf ( b , e ) & RightOf ( b , c ) )"
C is to the right of D only if B is to the right of C and left of E,"( RightOf ( b , c ) & LeftOf ( b , e ) & RightOf ( c , d ) ) | ~ RightOf ( c , d )"
C is to the right of D only if B is to the right of C and left of E,"( RightOf ( b , c ) $ ~ LeftOf ( b , e ) ) $ ~ RightOf ( c , d )"
C is to the right of D only if B is to the right of C and left of E,"RightOf ( c , d ) $ ( RightOf ( b , c ) & LeftOf ( b , e ) )"
D and E are both in back of B,"BackOf ( d , b ) & FrontOf ( b , e )"
D and E are both in back of B,"FrontOf ( b , d ) & BackOf ( e , b )"
D and E are both in back of B,"FrontOf ( b , d ) & FrontOf ( b , e )"
D and E are both in back of B,"BackOf ( e , b ) & BackOf ( d , b )"
D and E are both in back of B,"~ ( ~ BackOf ( d , b ) | ~ BackOf ( e , b ) )"
D and E are both in back of B,"FrontOf ( b , e ) & FrontOf ( b , d )"
D and E are both in back of B,"BackOf ( d , b ) & BackOf ( e , b ) & BackOf ( d , b ) & BackOf ( e , b )"
D and E are both in back of B,"BackOf ( d , b ) & BackOf ( e , b )"
D and E are both in back of B,"BackOf ( d , b ) & BackOf ( e , b ) & BackOf ( d , b )"
D and E are both in back of B,"BackOf ( e , b ) & BackOf ( d , b ) & BackOf ( e , b ) & BackOf ( d , b )"
D and E are both in back of B,"~ ~ ( BackOf ( d , b ) & BackOf ( e , b ) )"
D and E are both in back of B and larger than it,"FrontOf ( b , e ) & FrontOf ( b , d ) & Larger ( d , b ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"FrontOf ( b , e ) & FrontOf ( b , d ) & Smaller ( b , e ) & Smaller ( b , d )"
D and E are both in back of B and larger than it,"Larger ( d , b ) & BackOf ( e , b ) & BackOf ( d , b ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"FrontOf ( b , d ) & BackOf ( e , b ) & Larger ( d , b ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & Larger ( d , b ) & Larger ( e , b ) & BackOf ( e , b )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & FrontOf ( b , e ) & Larger ( d , b ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"Larger ( e , b ) & Larger ( d , b ) & BackOf ( e , b ) & BackOf ( d , b )"
D and E are both in back of B and larger than it,"Larger ( e , b ) & Larger ( d , b ) & FrontOf ( b , d ) & FrontOf ( b , e )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & BackOf ( e , b ) & Smaller ( b , e ) & Smaller ( b , d )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & BackOf ( e , b ) & Larger ( d , b ) & Smaller ( b , e )"
D and E are both in back of B and larger than it,"BackOf ( e , b ) & Larger ( d , b ) & Larger ( e , b ) & BackOf ( d , b )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & BackOf ( e , b ) & Larger ( e , b ) & Larger ( d , b )"
D and E are both in back of B and larger than it,"FrontOf ( b , d ) & FrontOf ( b , e ) & Larger ( d , b ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & Larger ( d , b ) & BackOf ( e , b ) & Larger ( e , b )"
D and E are both in back of B and larger than it,"Larger ( e , b ) & BackOf ( e , b ) & Larger ( d , b ) & BackOf ( d , b )"
D and E are both in back of B and larger than it,"Larger ( d , b ) & Larger ( e , b ) & BackOf ( e , b ) & BackOf ( d , b )"
D and E are both in back of B and larger than it,"Larger ( d , b ) & Larger ( e , b ) & BackOf ( d , b ) & BackOf ( e , b )"
D and E are both in back of B and larger than it,"FrontOf ( b , e ) & FrontOf ( b , d ) & Larger ( e , b ) & Larger ( d , b )"
D and E are both in back of B and larger than it,"BackOf ( e , b ) & BackOf ( d , b ) & Larger ( e , b ) & Larger ( d , b )"
D and E are both in back of B and larger than it,"Smaller ( b , d ) & Smaller ( b , e ) & FrontOf ( b , d ) & FrontOf ( b , e )"
D and E are both in back of B and larger than it,"Larger ( d , b ) & Larger ( e , b ) & FrontOf ( b , d ) & FrontOf ( b , e )"
D and E are both in back of B and larger than it,"Smaller ( b , e ) & Smaller ( b , d ) & BackOf ( d , b ) & BackOf ( e , b )"
D and E are both in back of B and larger than it,"BackOf ( d , b ) & FrontOf ( b , e ) & Larger ( d , b ) & Smaller ( b , e )"
D and E are both in back of B and larger than it,"FrontOf ( b , d ) & Smaller ( b , d ) & FrontOf ( b , e ) & Smaller ( b , e )"
